[Mon May 11 12:46:58 AEST 2026] [baseline] starting

================================================================================
HYBRID BASELINE-DAGGER PIPELINE
================================================================================
[12:46:58] [bo-hybrid] baseline_only root: /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only

--------------------------------------------------------------------------------
PHASE 1: LAYOUTS
--------------------------------------------------------------------------------
[layout-sampler] wrote 200 layouts -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/heldout_layouts.yaml
[layout-sampler] wrote 40 layouts -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/correction_layouts.yaml

--------------------------------------------------------------------------------
PHASE 2: INITIAL DEMO COLLECTION
--------------------------------------------------------------------------------
[12:46:59] [bo-hybrid] $ /home/s226137394/.conda/envs/maze/bin/python -u -m Equivariant_pathway.collect_demos --layouts /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/training_layouts.yaml --demo_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos --num_demos 20 --seed 0
[eq-collect] 20 layouts in /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/training_layouts.yaml
[eq-collect] saved demo_multimodal_heldout_001_1778468131706.json  (layout 1/20, start=[0, 2], goal=[2, 4], fires=[[0, 4], [3, 4], [4, 0]])
[eq-collect] saved demo_multimodal_heldout_002_1778467661643.json  (layout 2/20, start=[3, 4], goal=[0, 0], fires=[[1, 2], [1, 3], [4, 3]])
[eq-collect] saved demo_multimodal_heldout_003_1778467796076.json  (layout 3/20, start=[4, 4], goal=[1, 2], fires=[[0, 1], [1, 0], [2, 3]])
[eq-collect] saved demo_multimodal_heldout_004_1778468270334.json  (layout 4/20, start=[2, 0], goal=[4, 3], fires=[[1, 4], [3, 2], [3, 3]])
[eq-collect] saved demo_multimodal_heldout_005_1778468227656.json  (layout 5/20, start=[2, 0], goal=[4, 2], fires=[[0, 1], [0, 4], [4, 4]])
[eq-collect] saved demo_multimodal_heldout_006_1778468591850.json  (layout 6/20, start=[2, 1], goal=[1, 4], fires=[[0, 4], [2, 2], [4, 0]])
[eq-collect] saved demo_multimodal_heldout_007_1778468350697.json  (layout 7/20, start=[4, 3], goal=[1, 4], fires=[[0, 1], [2, 4], [4, 1]])
[eq-collect] saved demo_multimodal_heldout_008_1778468164914.json  (layout 8/20, start=[0, 3], goal=[4, 2], fires=[[0, 0], [0, 4], [4, 1]])
[eq-collect] saved demo_multimodal_heldout_009_1778468556466.json  (layout 9/20, start=[1, 2], goal=[4, 0], fires=[[0, 3], [3, 0], [3, 2]])
[eq-collect] saved demo_multimodal_heldout_010_1778468437358.json  (layout 10/20, start=[0, 1], goal=[2, 3], fires=[[1, 0], [1, 2], [4, 2]])
[eq-collect] saved demo_multimodal_heldout_011_1778468478997.json  (layout 11/20, start=[0, 4], goal=[3, 1], fires=[[0, 0], [0, 2], [0, 3]])
[eq-collect] saved demo_multimodal_heldout_012_1778468176038.json  (layout 12/20, start=[3, 3], goal=[1, 0], fires=[[2, 2], [2, 4], [3, 1]])
[eq-collect] saved demo_multimodal_heldout_013_1778468351485.json  (layout 13/20, start=[4, 4], goal=[0, 3], fires=[[2, 0], [2, 1], [4, 2]])
[eq-collect] saved demo_multimodal_heldout_014_1778468485115.json  (layout 14/20, start=[1, 0], goal=[3, 4], fires=[[1, 4], [2, 3], [4, 4]])
[eq-collect] saved demo_multimodal_heldout_015_1778467702460.json  (layout 15/20, start=[1, 2], goal=[4, 4], fires=[[1, 1], [3, 1], [3, 4]])
[eq-collect] saved demo_multimodal_heldout_016_1778467650485.json  (layout 16/20, start=[0, 2], goal=[4, 1], fires=[[0, 0], [0, 4], [3, 3]])
[eq-collect] saved demo_multimodal_heldout_017_1778467627628.json  (layout 17/20, start=[0, 2], goal=[4, 2], fires=[[1, 1], [1, 4], [3, 1]])
[eq-collect] saved demo_multimodal_heldout_018_1778467630650.json  (layout 18/20, start=[2, 4], goal=[4, 2], fires=[[1, 4], [2, 2], [3, 4]])
[eq-collect] saved demo_multimodal_heldout_019_1778468269644.json  (layout 19/20, start=[2, 4], goal=[4, 2], fires=[[2, 0], [4, 0], [4, 3]])
[eq-collect] saved demo_multimodal_heldout_020_1778468083472.json  (layout 20/20, start=[4, 4], goal=[0, 0], fires=[[2, 2], [4, 0], [4, 3]])
[eq-collect] DONE — wrote 20 demos -> /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos
[12:47:02] [bo-hybrid] final initial demo count: 20

--------------------------------------------------------------------------------
PHASE 3: INITIAL TRAINING
--------------------------------------------------------------------------------
[12:47:02] [bo-hybrid] $ /home/s226137394/.conda/envs/maze/bin/python -u -m Equivariant_pathway.equivariant_CNN_hybrid.train --demo_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos --checkpoint_dir /vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/checkpoints --epochs 500 --seed 0 --max_demos 20
[hybrid-train] device=cuda demo_dir=/vast/s226137394/DmN/DmNfull/Equivariant_pathway/equivariant_CNN_hybrid/four_way_compare/runs/baseline_only/demos
[hybrid-dataset] 20 demos -> 99 samples
[hybrid-train] trainable params: 1,400,028
[hybrid-train] ep   1/500 | train loss=0.9054 top1=0.511 | val loss=1.0548 | t=0.6s  *
[hybrid-train] ep 165/500 | train loss=0.0011 top1=1.000 | val loss=0.2322 | t=0.1s
[hybrid-train] ep 166/500 | train loss=0.0010 top1=1.000 | val loss=0.2117 | t=0.1s
[hybrid-train] ep 167/500 | train loss=0.0010 top1=1.000 | val loss=0.2167 | t=0.1s
[hybrid-train] ep 168/500 | train loss=0.0010 top1=1.000 | val loss=0.2302 | t=0.1s
[hybrid-train] ep 169/500 | train loss=0.0010 top1=1.000 | val loss=0.2227 | t=0.1s
[hybrid-train] ep 170/500 | train loss=0.0010 top1=1.000 | val loss=0.2086 | t=0.1s
[hybrid-train] ep 171/500 | train loss=0.0010 top1=1.000 | val loss=0.2062 | t=0.1s
[hybrid-train] ep 172/500 | train loss=0.0010 top1=1.000 | val loss=0.2203 | t=0.1s
[hybrid-train] ep 173/500 | train loss=0.0010 top1=1.000 | val loss=0.2314 | t=0.1s
[hybrid-train] ep 174/500 | train loss=0.0010 top1=1.000 | val loss=0.2219 | t=0.1s
[hybrid-train] ep 175/500 | train loss=0.0009 top1=1.000 | val loss=0.2087 | t=0.1s
[hybrid-train] ep 176/500 | train loss=0.0009 top1=1.000 | val loss=0.2226 | t=0.1s
[hybrid-train] ep 177/500 | train loss=0.0009 top1=1.000 | val loss=0.2362 | t=0.1s
[hybrid-train] ep 178/500 | train loss=0.0009 top1=1.000 | val loss=0.2239 | t=0.1s
[hybrid-train] ep 179/500 | train loss=0.0009 top1=1.000 | val loss=0.2073 | t=0.1s
[hybrid-train] ep 180/500 | train loss=0.0009 top1=1.000 | val loss=0.2112 | t=0.1s
[hybrid-train] ep 181/500 | train loss=0.0009 top1=1.000 | val loss=0.2269 | t=0.1s
[hybrid-train] ep 182/500 | train loss=0.0009 top1=1.000 | val loss=0.2337 | t=0.1s
[hybrid-train] ep 183/500 | train loss=0.0009 top1=1.000 | val loss=0.2231 | t=0.1s
[hybrid-train] ep 184/500 | train loss=0.0009 top1=1.000 | val loss=0.2135 | t=0.1s
[hybrid-train] ep 185/500 | train loss=0.0008 top1=1.000 | val loss=0.2163 | t=0.1s
[hybrid-train] ep 186/500 | train loss=0.0008 top1=1.000 | val loss=0.2288 | t=0.1s
[hybrid-train] ep 187/500 | train loss=0.0008 top1=1.000 | val loss=0.2301 | t=0.1s
[hybrid-train] ep 188/500 | train loss=0.0008 top1=1.000 | val loss=0.2169 | t=0.1s
[hybrid-train] ep 189/500 | train loss=0.0008 top1=1.000 | val loss=0.2128 | t=0.1s
[hybrid-train] ep 190/500 | train loss=0.0008 top1=1.000 | val loss=0.2170 | t=0.1s
[hybrid-train] ep 191/500 | train loss=0.0008 top1=1.000 | val loss=0.2198 | t=0.1s
[hybrid-train] ep 192/500 | train loss=0.0008 top1=1.000 | val loss=0.2219 | t=0.1s
[hybrid-train] ep 193/500 | train loss=0.0008 top1=1.000 | val loss=0.2224 | t=0.1s
[hybrid-train] ep 194/500 | train loss=0.0008 top1=1.000 | val loss=0.2194 | t=0.1s
[hybrid-train] ep 195/500 | train loss=0.0008 top1=1.000 | val loss=0.2216 | t=0.1s
[hybrid-train] ep 196/500 | train loss=0.0008 top1=1.000 | val loss=0.2207 | t=0.1s
[hybrid-train] ep 197/500 | train loss=0.0008 top1=1.000 | val loss=0.2226 | t=0.1s
[hybrid-train] ep 198/500 | train loss=0.0007 top1=1.000 | val loss=0.2206 | t=0.1s
[hybrid-train] ep 199/500 | train loss=0.0007 top1=1.000 | val loss=0.2171 | t=0.1s
[hybrid-train] ep 200/500 | train loss=0.0007 top1=1.000 | val loss=0.2159 | t=0.1s
[hybrid-train] ep 201/500 | train loss=0.0007 top1=1.000 | val loss=0.2166 | t=0.1s
[hybrid-train] ep 202/500 | train loss=0.0007 top1=1.000 | val loss=0.2203 | t=0.1s
[hybrid-train] ep 203/500 | train loss=0.0007 top1=1.000 | val loss=0.2222 | t=0.1s
[hybrid-train] ep 204/500 | train loss=0.0007 top1=1.000 | val loss=0.2220 | t=0.1s
[hybrid-train] ep 205/500 | train loss=0.0007 top1=1.000 | val loss=0.2237 | t=0.1s
[hybrid-train] ep 206/500 | train loss=0.0007 top1=1.000 | val loss=0.2143 | t=0.1s
[hybrid-train] ep 207/500 | train loss=0.0007 top1=1.000 | val loss=0.2032 | t=0.1s
[hybrid-train] ep 208/500 | train loss=0.0007 top1=1.000 | val loss=0.2069 | t=0.1s
[hybrid-train] ep 209/500 | train loss=0.0007 top1=1.000 | val loss=0.2187 | t=0.1s
[hybrid-train] ep 210/500 | train loss=0.0007 top1=1.000 | val loss=0.2335 | t=0.1s
[hybrid-train] ep 211/500 | train loss=0.0007 top1=1.000 | val loss=0.2296 | t=0.1s
[hybrid-train] ep 212/500 | train loss=0.0007 top1=1.000 | val loss=0.2117 | t=0.1s
[hybrid-train] ep 213/500 | train loss=0.0007 top1=1.000 | val loss=0.1992 | t=0.1s  *
[hybrid-train] ep 214/500 | train loss=0.0007 top1=1.000 | val loss=0.2034 | t=0.1s
[hybrid-train] ep 215/500 | train loss=0.0007 top1=1.000 | val loss=0.2165 | t=0.1s
[hybrid-train] ep 216/500 | train loss=0.0007 top1=1.000 | val loss=0.2281 | t=0.1s
[hybrid-train] ep 217/500 | train loss=0.0006 top1=1.000 | val loss=0.2290 | t=0.1s
[hybrid-train] ep 218/500 | train loss=0.0006 top1=1.000 | val loss=0.2195 | t=0.1s
[hybrid-train] ep 219/500 | train loss=0.0006 top1=1.000 | val loss=0.2143 | t=0.1s
[hybrid-train] ep 220/500 | train loss=0.0006 top1=1.000 | val loss=0.2135 | t=0.1s
[hybrid-train] ep 221/500 | train loss=0.0006 top1=1.000 | val loss=0.2131 | t=0.1s
[hybrid-train] ep 222/500 | train loss=0.0006 top1=1.000 | val loss=0.2156 | t=0.1s
[hybrid-train] ep 223/500 | train loss=0.0006 top1=1.000 | val loss=0.2241 | t=0.1s
[hybrid-train] ep 224/500 | train loss=0.0006 top1=1.000 | val loss=0.2236 | t=0.1s
[hybrid-train] ep 225/500 | train loss=0.0006 top1=1.000 | val loss=0.2109 | t=0.1s
[hybrid-train] ep 226/500 | train loss=0.0006 top1=1.000 | val loss=0.2017 | t=0.1s
[hybrid-train] ep 227/500 | train loss=0.0006 top1=1.000 | val loss=0.2113 | t=0.1s
[hybrid-train] ep 228/500 | train loss=0.0006 top1=1.000 | val loss=0.2314 | t=0.1s
[hybrid-train] ep 229/500 | train loss=0.0006 top1=1.000 | val loss=0.2356 | t=0.1s
[hybrid-train] ep 230/500 | train loss=0.0006 top1=1.000 | val loss=0.2170 | t=0.1s
[hybrid-train] ep 231/500 | train loss=0.0006 top1=1.000 | val loss=0.2032 | t=0.1s
[hybrid-train] ep 232/500 | train loss=0.0006 top1=1.000 | val loss=0.2060 | t=0.1s
[hybrid-train] ep 233/500 | train loss=0.0006 top1=1.000 | val loss=0.2205 | t=0.1s
[hybrid-train] ep 234/500 | train loss=0.0006 top1=1.000 | val loss=0.2317 | t=0.1s
[hybrid-train] ep 235/500 | train loss=0.0006 top1=1.000 | val loss=0.2311 | t=0.1s
[hybrid-train] ep 236/500 | train loss=0.0006 top1=1.000 | val loss=0.2183 | t=0.1s
[hybrid-train] ep 237/500 | train loss=0.0006 top1=1.000 | val loss=0.2070 | t=0.1s
[hybrid-train] ep 238/500 | train loss=0.0006 top1=1.000 | val loss=0.2112 | t=0.1s
[hybrid-train] ep 239/500 | train loss=0.0006 top1=1.000 | val loss=0.2192 | t=0.1s
[hybrid-train] ep 240/500 | train loss=0.0006 top1=1.000 | val loss=0.2173 | t=0.1s
[hybrid-train] ep 241/500 | train loss=0.0005 top1=1.000 | val loss=0.2112 | t=0.1s
[hybrid-train] ep 242/500 | train loss=0.0005 top1=1.000 | val loss=0.2096 | t=0.1s
[hybrid-train] ep 243/500 | train loss=0.0005 top1=1.000 | val loss=0.2158 | t=0.1s
[hybrid-train] ep 244/500 | train loss=0.0005 top1=1.000 | val loss=0.2251 | t=0.1s
[hybrid-train] ep 245/500 | train loss=0.0005 top1=1.000 | val loss=0.2310 | t=0.1s
[hybrid-train] ep 246/500 | train loss=0.0005 top1=1.000 | val loss=0.2340 | t=0.1s
[hybrid-train] ep 247/500 | train loss=0.0005 top1=1.000 | val loss=0.2253 | t=0.1s
[hybrid-train] ep 248/500 | train loss=0.0005 top1=1.000 | val loss=0.2147 | t=0.1s
[hybrid-train] ep 249/500 | train loss=0.0005 top1=1.000 | val loss=0.2082 | t=0.1s
[hybrid-train] ep 250/500 | train loss=0.0005 top1=1.000 | val loss=0.2114 | t=0.1s
[hybrid-train] ep 251/500 | train loss=0.0005 top1=1.000 | val loss=0.2209 | t=0.1s
[hybrid-train] ep 252/500 | train loss=0.0005 top1=1.000 | val loss=0.2244 | t=0.1s
[hybrid-train] ep 253/500 | train loss=0.0005 top1=1.000 | val loss=0.2199 | t=0.1s
[hybrid-train] ep 254/500 | train loss=0.0005 top1=1.000 | val loss=0.2102 | t=0.1s
[hybrid-train] ep 255/500 | train loss=0.0005 top1=1.000 | val loss=0.2105 | t=0.1s
[hybrid-train] ep 256/500 | train loss=0.0005 top1=1.000 | val loss=0.2195 | t=0.1s
[hybrid-train] ep 257/500 | train loss=0.0005 top1=1.000 | val loss=0.2287 | t=0.1s
[hybrid-train] ep 258/500 | train loss=0.0005 top1=1.000 | val loss=0.2250 | t=0.1s
[hybrid-train] ep 259/500 | train loss=0.0005 top1=1.000 | val loss=0.2160 | t=0.1s
[hybrid-train] ep 260/500 | train loss=0.0005 top1=1.000 | val loss=0.2126 | t=0.1s
[hybrid-train] ep 261/500 | train loss=0.0005 top1=1.000 | val loss=0.2156 | t=0.1s
[hybrid-train] ep 262/500 | train loss=0.0005 top1=1.000 | val loss=0.2250 | t=0.1s
[hybrid-train] ep 263/500 | train loss=0.0005 top1=1.000 | val loss=0.2328 | t=0.1s
[hybrid-train] ep 264/500 | train loss=0.0005 top1=1.000 | val loss=0.2306 | t=0.1s
[hybrid-train] ep 265/500 | train loss=0.0005 top1=1.000 | val loss=0.2200 | t=0.1s
[hybrid-train] ep 266/500 | train loss=0.0005 top1=1.000 | val loss=0.2064 | t=0.1s
[hybrid-train] ep 267/500 | train loss=0.0005 top1=1.000 | val loss=0.2024 | t=0.1s
[hybrid-train] ep 268/500 | train loss=0.0005 top1=1.000 | val loss=0.2083 | t=0.1s
[hybrid-train] ep 269/500 | train loss=0.0005 top1=1.000 | val loss=0.2189 | t=0.1s
[hybrid-train] ep 270/500 | train loss=0.0005 top1=1.000 | val loss=0.2224 | t=0.1s
[hybrid-train] ep 271/500 | train loss=0.0005 top1=1.000 | val loss=0.2197 | t=0.1s
[hybrid-train] ep 272/500 | train loss=0.0005 top1=1.000 | val loss=0.2184 | t=0.1s
[hybrid-train] ep 273/500 | train loss=0.0005 top1=1.000 | val loss=0.2181 | t=0.1s
[hybrid-train] ep 274/500 | train loss=0.0005 top1=1.000 | val loss=0.2162 | t=0.1s
[hybrid-train] ep 275/500 | train loss=0.0005 top1=1.000 | val loss=0.2125 | t=0.1s
[hybrid-train] ep 276/500 | train loss=0.0005 top1=1.000 | val loss=0.2089 | t=0.1s
[hybrid-train] ep 277/500 | train loss=0.0005 top1=1.000 | val loss=0.2071 | t=0.1s
[hybrid-train] ep 278/500 | train loss=0.0005 top1=1.000 | val loss=0.2122 | t=0.1s
[hybrid-train] ep 279/500 | train loss=0.0004 top1=1.000 | val loss=0.2177 | t=0.1s
[hybrid-train] ep 280/500 | train loss=0.0004 top1=1.000 | val loss=0.2178 | t=0.1s
[hybrid-train] ep 281/500 | train loss=0.0004 top1=1.000 | val loss=0.2162 | t=0.1s
[hybrid-train] ep 282/500 | train loss=0.0004 top1=1.000 | val loss=0.2138 | t=0.1s
[hybrid-train] ep 283/500 | train loss=0.0004 top1=1.000 | val loss=0.2117 | t=0.1s
[hybrid-train] ep 284/500 | train loss=0.0004 top1=1.000 | val loss=0.2125 | t=0.1s
[hybrid-train] ep 285/500 | train loss=0.0004 top1=1.000 | val loss=0.2173 | t=0.1s
[hybrid-train] ep 286/500 | train loss=0.0004 top1=1.000 | val loss=0.2224 | t=0.1s
[hybrid-train] ep 287/500 | train loss=0.0004 top1=1.000 | val loss=0.2220 | t=0.1s
[hybrid-train] ep 288/500 | train loss=0.0004 top1=1.000 | val loss=0.2154 | t=0.1s
[hybrid-train] ep 289/500 | train loss=0.0004 top1=1.000 | val loss=0.2094 | t=0.1s
[hybrid-train] ep 290/500 | train loss=0.0004 top1=1.000 | val loss=0.2067 | t=0.1s
[hybrid-train] ep 291/500 | train loss=0.0004 top1=1.000 | val loss=0.2056 | t=0.1s
[hybrid-train] ep 292/500 | train loss=0.0004 top1=1.000 | val loss=0.2068 | t=0.1s
[hybrid-train] ep 293/500 | train loss=0.0004 top1=1.000 | val loss=0.2120 | t=0.1s
[hybrid-train] ep 294/500 | train loss=0.0004 top1=1.000 | val loss=0.2181 | t=0.1s
[hybrid-train] ep 295/500 | train loss=0.0004 top1=1.000 | val loss=0.2248 | t=0.1s
[hybrid-train] ep 296/500 | train loss=0.0004 top1=1.000 | val loss=0.2305 | t=0.1s
[hybrid-train] ep 297/500 | train loss=0.0004 top1=1.000 | val loss=0.2280 | t=0.1s
[hybrid-train] ep 298/500 | train loss=0.0004 top1=1.000 | val loss=0.2213 | t=0.1s
[hybrid-train] ep 299/500 | train loss=0.0004 top1=1.000 | val loss=0.2117 | t=0.1s
[hybrid-train] ep 300/500 | train loss=0.0004 top1=1.000 | val loss=0.2023 | t=0.1s
[hybrid-train] ep 301/500 | train loss=0.0004 top1=1.000 | val loss=0.2023 | t=0.1s
[hybrid-train] ep 302/500 | train loss=0.0004 top1=1.000 | val loss=0.2096 | t=0.1s
[hybrid-train] ep 303/500 | train loss=0.0004 top1=1.000 | val loss=0.2184 | t=0.1s
[hybrid-train] ep 304/500 | train loss=0.0004 top1=1.000 | val loss=0.2238 | t=0.1s
[hybrid-train] ep 305/500 | train loss=0.0004 top1=1.000 | val loss=0.2257 | t=0.1s
[hybrid-train] ep 306/500 | train loss=0.0004 top1=1.000 | val loss=0.2229 | t=0.1s
[hybrid-train] ep 307/500 | train loss=0.0004 top1=1.000 | val loss=0.2205 | t=0.1s
[hybrid-train] ep 308/500 | train loss=0.0004 top1=1.000 | val loss=0.2166 | t=0.1s
[hybrid-train] ep 309/500 | train loss=0.0004 top1=1.000 | val loss=0.2167 | t=0.1s
[hybrid-train] ep 310/500 | train loss=0.0004 top1=1.000 | val loss=0.2175 | t=0.1s
[hybrid-train] ep 311/500 | train loss=0.0004 top1=1.000 | val loss=0.2198 | t=0.1s
[hybrid-train] ep 312/500 | train loss=0.0004 top1=1.000 | val loss=0.2194 | t=0.1s
[hybrid-train] ep 313/500 | train loss=0.0004 top1=1.000 | val loss=0.2160 | t=0.1s
[hybrid-train] ep 314/500 | train loss=0.0004 top1=1.000 | val loss=0.2132 | t=0.1s
[hybrid-train] ep 315/500 | train loss=0.0004 top1=1.000 | val loss=0.2126 | t=0.1s
[hybrid-train] ep 316/500 | train loss=0.0004 top1=1.000 | val loss=0.2166 | t=0.1s
[hybrid-train] ep 317/500 | train loss=0.0004 top1=1.000 | val loss=0.2245 | t=0.1s
[hybrid-train] ep 318/500 | train loss=0.0004 top1=1.000 | val loss=0.2260 | t=0.1s
[hybrid-train] ep 319/500 | train loss=0.0004 top1=1.000 | val loss=0.2205 | t=0.1s
[hybrid-train] ep 320/500 | train loss=0.0004 top1=1.000 | val loss=0.2136 | t=0.1s
[hybrid-train] ep 321/500 | train loss=0.0004 top1=1.000 | val loss=0.2101 | t=0.1s
[hybrid-train] ep 322/500 | train loss=0.0004 top1=1.000 | val loss=0.2106 | t=0.1s
[hybrid-train] ep 323/500 | train loss=0.0004 top1=1.000 | val loss=0.2127 | t=0.1s
[hybrid-train] ep 324/500 | train loss=0.0004 top1=1.000 | val loss=0.2151 | t=0.1s
[hybrid-train] ep 325/500 | train loss=0.0004 top1=1.000 | val loss=0.2158 | t=0.1s
[hybrid-train] ep 326/500 | train loss=0.0004 top1=1.000 | val loss=0.2159 | t=0.1s
[hybrid-train] ep 327/500 | train loss=0.0004 top1=1.000 | val loss=0.2178 | t=0.1s
[hybrid-train] ep 328/500 | train loss=0.0004 top1=1.000 | val loss=0.2193 | t=0.1s
[hybrid-train] ep 329/500 | train loss=0.0004 top1=1.000 | val loss=0.2164 | t=0.1s
[hybrid-train] ep 330/500 | train loss=0.0004 top1=1.000 | val loss=0.2116 | t=0.1s
[hybrid-train] ep 331/500 | train loss=0.0004 top1=1.000 | val loss=0.2085 | t=0.1s
[hybrid-train] ep 332/500 | train loss=0.0004 top1=1.000 | val loss=0.2082 | t=0.1s
[hybrid-train] ep 333/500 | train loss=0.0004 top1=1.000 | val loss=0.2118 | t=0.1s
[hybrid-train] ep 334/500 | train loss=0.0004 top1=1.000 | val loss=0.2188 | t=0.1s
[hybrid-train] ep 335/500 | train loss=0.0004 top1=1.000 | val loss=0.2247 | t=0.1s
[hybrid-train] ep 336/500 | train loss=0.0004 top1=1.000 | val loss=0.2270 | t=0.1s
[hybrid-train] ep 337/500 | train loss=0.0004 top1=1.000 | val loss=0.2244 | t=0.1s
[hybrid-train] ep 338/500 | train loss=0.0004 top1=1.000 | val loss=0.2210 | t=0.1s
[hybrid-train] ep 339/500 | train loss=0.0004 top1=1.000 | val loss=0.2180 | t=0.1s
[hybrid-train] ep 340/500 | train loss=0.0004 top1=1.000 | val loss=0.2167 | t=0.1s
[hybrid-train] ep 341/500 | train loss=0.0004 top1=1.000 | val loss=0.2169 | t=0.1s
[hybrid-train] ep 342/500 | train loss=0.0004 top1=1.000 | val loss=0.2169 | t=0.1s
[hybrid-train] ep 343/500 | train loss=0.0004 top1=1.000 | val loss=0.2188 | t=0.1s
[hybrid-train] ep 344/500 | train loss=0.0004 top1=1.000 | val loss=0.2221 | t=0.1s
[hybrid-train] ep 345/500 | train loss=0.0004 top1=1.000 | val loss=0.2237 | t=0.1s
[hybrid-train] ep 346/500 | train loss=0.0004 top1=1.000 | val loss=0.2247 | t=0.1s
[hybrid-train] ep 347/500 | train loss=0.0004 top1=1.000 | val loss=0.2224 | t=0.1s
[hybrid-train] ep 348/500 | train loss=0.0004 top1=1.000 | val loss=0.2174 | t=0.1s
[hybrid-train] ep 349/500 | train loss=0.0004 top1=1.000 | val loss=0.2124 | t=0.1s
[hybrid-train] ep 350/500 | train loss=0.0004 top1=1.000 | val loss=0.2111 | t=0.1s
[hybrid-train] ep 351/500 | train loss=0.0004 top1=1.000 | val loss=0.2130 | t=0.1s
[hybrid-train] ep 352/500 | train loss=0.0004 top1=1.000 | val loss=0.2146 | t=0.1s
[hybrid-train] ep 353/500 | train loss=0.0004 top1=1.000 | val loss=0.2150 | t=0.1s
[hybrid-train] ep 354/500 | train loss=0.0004 top1=1.000 | val loss=0.2156 | t=0.1s
[hybrid-train] ep 355/500 | train loss=0.0004 top1=1.000 | val loss=0.2151 | t=0.1s
[hybrid-train] ep 356/500 | train loss=0.0004 top1=1.000 | val loss=0.2163 | t=0.1s
[hybrid-train] ep 357/500 | train loss=0.0004 top1=1.000 | val loss=0.2194 | t=0.1s
[hybrid-train] ep 358/500 | train loss=0.0004 top1=1.000 | val loss=0.2228 | t=0.1s
[hybrid-train] ep 359/500 | train loss=0.0003 top1=1.000 | val loss=0.2249 | t=0.1s
[hybrid-train] ep 360/500 | train loss=0.0003 top1=1.000 | val loss=0.2249 | t=0.1s
[hybrid-train] ep 361/500 | train loss=0.0003 top1=1.000 | val loss=0.2224 | t=0.1s
[hybrid-train] ep 362/500 | train loss=0.0003 top1=1.000 | val loss=0.2199 | t=0.1s
[hybrid-train] ep 363/500 | train loss=0.0003 top1=1.000 | val loss=0.2184 | t=0.1s
[hybrid-train] ep 364/500 | train loss=0.0003 top1=1.000 | val loss=0.2177 | t=0.1s
[hybrid-train] ep 365/500 | train loss=0.0003 top1=1.000 | val loss=0.2174 | t=0.1s
[hybrid-train] ep 366/500 | train loss=0.0003 top1=1.000 | val loss=0.2171 | t=0.1s
[hybrid-train] ep 367/500 | train loss=0.0003 top1=1.000 | val loss=0.2177 | t=0.1s
[hybrid-train] ep 368/500 | train loss=0.0003 top1=1.000 | val loss=0.2182 | t=0.1s
[hybrid-train] ep 369/500 | train loss=0.0003 top1=1.000 | val loss=0.2180 | t=0.1s
[hybrid-train] ep 370/500 | train loss=0.0003 top1=1.000 | val loss=0.2174 | t=0.1s
[hybrid-train] ep 371/500 | train loss=0.0003 top1=1.000 | val loss=0.2150 | t=0.1s
[hybrid-train] ep 372/500 | train loss=0.0003 top1=1.000 | val loss=0.2130 | t=0.1s
[hybrid-train] ep 373/500 | train loss=0.0003 top1=1.000 | val loss=0.2130 | t=0.1s
[hybrid-train] ep 374/500 | train loss=0.0003 top1=1.000 | val loss=0.2161 | t=0.1s
[hybrid-train] ep 375/500 | train loss=0.0003 top1=1.000 | val loss=0.2205 | t=0.1s
[hybrid-train] ep 376/500 | train loss=0.0003 top1=1.000 | val loss=0.2238 | t=0.1s
[hybrid-train] ep 377/500 | train loss=0.0003 top1=1.000 | val loss=0.2243 | t=0.1s
[hybrid-train] ep 378/500 | train loss=0.0003 top1=1.000 | val loss=0.2237 | t=0.1s
[hybrid-train] ep 379/500 | train loss=0.0003 top1=1.000 | val loss=0.2224 | t=0.1s
[hybrid-train] ep 380/500 | train loss=0.0003 top1=1.000 | val loss=0.2199 | t=0.1s
[hybrid-train] ep 381/500 | train loss=0.0003 top1=1.000 | val loss=0.2168 | t=0.1s
[hybrid-train] ep 382/500 | train loss=0.0003 top1=1.000 | val loss=0.2142 | t=0.1s
[hybrid-train] ep 383/500 | train loss=0.0003 top1=1.000 | val loss=0.2128 | t=0.1s
[hybrid-train] ep 384/500 | train loss=0.0003 top1=1.000 | val loss=0.2126 | t=0.1s
[hybrid-train] ep 385/500 | train loss=0.0003 top1=1.000 | val loss=0.2133 | t=0.1s
[hybrid-train] ep 386/500 | train loss=0.0003 top1=1.000 | val loss=0.2148 | t=0.1s
